--- MusaX Trace Log: examples/fx_test.Z8A ---
T:23041 | CH:1 | PC:000 | VOLUME val:8
T:23041 | CH:1 | PC:002 | INST id:0
T:23041 | CH:1 | PC:004 | NOTE E-4 wait:768
T:23809 | CH:0 | PC:00D | NOTE F-4 wait:768
T:23809 | CH:1 | PC:007 | NOTE G-4 wait:768
T:24577 | CH:0 | PC:000 | VOLUME val:10
T:24577 | CH:0 | PC:002 | INST id:0
T:24577 | CH:0 | PC:004 | NOTE C-4 wait:768
T:24577 | CH:1 | PC:000 | VOLUME val:8
T:24577 | CH:1 | PC:002 | INST id:0
T:24577 | CH:1 | PC:004 | NOTE E-4 wait:768
T:25345 | CH:0 | PC:007 | NOTE D-4 wait:768
T:25345 | CH:1 | PC:007 | NOTE G-4 wait:768
T:26113 | CH:0 | PC:00A | NOTE E-4 wait:768
T:26113 | CH:1 | PC:000 | VOLUME val:8
T:26113 | CH:1 | PC:002 | INST id:0
T:26113 | CH:1 | PC:004 | NOTE E-4 wait:768
T:26881 | CH:0 | PC:00D | NOTE F-4 wait:768
T:26881 | CH:1 | PC:007 | NOTE G-4 wait:768
T:27649 | CH:0 | PC:000 | VOLUME val:10
T:27649 | CH:0 | PC:002 | INST id:0
T:27649 | CH:0 | PC:004 | NOTE C-4 wait:768
T:27649 | CH:1 | PC:000 | VOLUME val:8
T:27649 | CH:1 | PC:002 | INST id:0
T:27649 | CH:1 | PC:004 | NOTE E-4 wait:768
T:28417 | CH:0 | PC:007 | NOTE D-4 wait:768
T:28417 | CH:1 | PC:007 | NOTE G-4 wait:768
T:29185 | CH:0 | PC:00A | NOTE E-4 wait:768
T:29185 | CH:1 | PC:000 | VOLUME val:8
T:29185 | CH:1 | PC:002 | INST id:0
T:29185 | CH:1 | PC:004 | NOTE E-4 wait:768
T:29953 | CH:0 | PC:00D | NOTE F-4 wait:768
T:29953 | CH:1 | PC:007 | NOTE G-4 wait:768
T:30721 | CH:0 | PC:000 | VOLUME val:10
T:30721 | CH:0 | PC:002 | INST id:0
T:30721 | CH:0 | PC:004 | NOTE C-4 wait:768
